japanese,english
あきあが,Akiaga
安芸阿賀,Akiaga
ぜぜ,Zeze
膳所,Zeze
よしづか,Yoshizuka
吉塚,Yoshizuka
よしのぶ,Yoshinobu
吉野生,Yoshinobu
よこすか,Yokosuka
横須賀,Yokosuka
よこかわ,Yokokawa
横川,Yokokawa
よこはま,Yokohama
横浜,Yokohama
よこがわ,Yokogawa
横川,Yokogawa
よっかいち,Yokkaichi
四日市,Yokkaichi
やなぎばし,Yanagibashi
柳橋,Yanagibashi
やましな,Yamashina
山科,Yamashina
やはた,Yahata
八幡,Yahata
やぶ,Yabu
養父,Yabu
わかまつ,Wakamatsu
若松,Wakamatsu
わち,Wachi
和知,Wachi
うのしま,Unoshima
宇島,Unoshima
うえの,Ueno
上野,Ueno
う,U
つくだ,Tsukuda
佃,Tsukuda
つがわ,Tsugawa
津川,Tsugawa
にゅうがわ,Nyūgawa
壬生川,Nyūgawa
とやま,Toyama
富山,Toyama
とみだはま,Tomidahama
富田浜,Tomidahama
とうきょう,Tōkyō
東京,Tōkyō
とばた,Tobata
戸畑,Tobata
てんおうじ,Tennōji
天王寺,Tennōji
てんじんばしすじろくちょうめ,Tenjinbashisuji Roku-chōme
天神橋筋六丁目,Tenjinbashisuji Roku-chōme
たうら,Taura
田浦,Taura
たきはら,Takihara
滝原,Takihara
たかとり,Takatori
鷹取,Takatori
たかしまちょう,Takashimachō
高島町,Takashimachō
たかさき,Takasaki
高崎,Takasaki
すおうたかもり,Suō Takamori
周防高森,Suō Takamori
隅田川貨物,Sumidagawa Kamotsu
しおはま,Shiohama
塩浜,Shiohama
しんこいわ,Shinkoiwa
新小岩,Shinkoiwa
しんじゅく,Shinjuku
新宿,Shinjuku
しんじょはら,Shinjohara
新所原,Shinjohara
しんいいづか,Shin’iizuka
新飯塚,Shin’iizuka
しんでんばる,Shindenbaru
新田原,Shindenbaru
しながわ,Shinagawa
品川,Shinagawa
しものせき,Shimonoseki
下関,Shimonoseki
しみず,Shimizu
清水,Shimizu
しんばし,Shinbashi
新橋,Shinbashi
しぶや,Shibuya
渋谷,Shibuya
せたか,Setaka
瀬高,Setaka
さんのみや,Sannomiya
三ノ宮,Sannomiya
さくらじま,Sakurajima
桜島,Sakurajima
さこ,Sako
佐古,Sako
さかた,Sakata
酒田,Sakata
さかかみ,Sakakami
坂上,Sakakami
さかいで,Sakaide
坂出,Sakaide
さいとざき,Saitozaki
西戸崎,Saitozaki
りょうごく,Ryōgoku
両国,Ryōgoku
おおさき,Ōsaki
大崎,Ōsaki
おおさか,Ōsaka
大阪,Ōsaka
おんががわ,Ongagawa
遠賀川,Ongagawa
尾久,Oku
おちゃのみず,Ochanomizu
御茶ノ水,Ochanomizu
のだ,Noda
野田,Noda
にしまいづる,Nishimaizuru
西舞鶴,Nishimaizuru
にしくじょう,Nishikujō
西九条,Nishikujō
かごしまちゅうおう,Kagoshima-chūō
鹿児島中央,Kagoshima-chūō
にしあかし,Nishiakashi
西明石,Nishiakashi
にいはま,Niihama
新居浜,Niihama
にいがた,Niigata
新潟,Niigata
にがた,Nigata
仁方,Nigata
とうきょうスカイツリー,Tōkyō Sky Tree
なりひらばし,Tōkyō Sky Tree
業平橋,Tōkyō Sky Tree
なごや,Nagoya Railway Station
名古屋,Nagoya Railway Station
名,Nagoya Railway Station
なぎさ,Nagisa
渚,Nagisa
長崎,Nagasaki Railway Station
なだ,Nada
灘,Nada
むさしさかい,Musashi-sakai
武蔵境,Musashi-sakai
もじこう,Mojikō
門司港,Mojikō
もじ,Moji
門司,Moji
みずしま,Mizushima
水島,Mizushima
みやじまぐち,Miyajimaguchi
宮島口,Miyajimaguchi
